site,calls,kind,bits,dynamic,per_call,frac_bits,on_grid,max_abs_in,max_abs_out,worst_grid_err_lsb,saturated_elems,total_elems,float32_exact,worst_bits_needed,saturated_pct
backbone.event_projection.seq_init.1.in,2,fx16,16,False,False,11,True,11.266264915466309,11.26611328125,0.0,0,25459200,True,15.493917978010618,0.0
backbone.event_projection.seq_init.1.out,2,fx16,16,False,False,11,True,8.046875,8.046875,0.0,0,25459200,True,15.00842862207058,0.0
backbone.preproc_block_events.seq_init.1.in,2,fx16,16,False,False,11,True,9.146537780761719,9.146484375,0.0,0,33945600,True,15.193217322699065,0.0
backbone.preproc_block_events.seq_init.1.out,2,fx16,16,False,False,11,True,4.255326747894287,4.25537109375,0.0,0,33945600,True,14.089284949013047,0.0
backbone.proc_event_blocks.0.seq_init.2.in,40,int8,16,False,False,,True,3.7610456943511963,3.763132095336914,0.0,0,33945600,True,7.6865005271832185,0.0
backbone.proc_event_blocks.0.seq_init.5.in,40,int8,16,False,False,,True,2.3548150062561035,2.358928680419922,0.0,0,33945600,True,7.882643049361842,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.hat,40,fx16,16,False,False,11,True,7.875,7.875,0.0,0,33945600,True,14.977279923499916,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.out,40,fx16,16,False,False,11,True,7.984611511230469,7.984375,0.0,0,33945600,True,14.997179480937621,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.hat,40,fx16,16,False,False,11,True,4.46875,4.46875,0.0,0,31948800,True,14.159871336778389,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.out,40,fx16,16,False,False,11,True,4.775505065917969,4.775390625,0.0,0,31948800,True,14.255618749839597,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.in,40,fx16,16,False,False,9,True,23.513202667236328,23.513671875,0.0,0,102835200,True,14.55542794150115,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.out,40,fx16,16,False,False,14,True,1.0,1.0,0.0,0,102835200,True,15.0,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.hat,40,fx16,16,False,False,11,True,4.5,4.5,0.0,0,31948800,True,14.169925001442312,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.out,40,fx16,16,False,False,11,True,4.5726318359375,4.57275390625,0.0,0,31948800,True,14.193063279130408,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu1.in,40,fx16,16,False,False,11,True,6.263491630554199,6.263671875,0.0,0,31948800,True,14.647008638441648,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu1.out,40,fx16,16,False,False,11,True,6.263671875,6.263671875,0.0,0,31948800,True,14.647008638441648,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.hat,40,fx16,16,False,False,11,True,8.625,8.625,0.0,0,31948800,True,15.108524456778168,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.out,40,fx16,16,False,False,11,True,9.148574829101562,9.1484375,0.0,0,31948800,True,15.193525360501216,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu2.in,40,fx16,16,False,False,11,True,4.328126907348633,4.328125,0.0,0,31948800,True,14.113742166049189,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu2.out,40,fx16,16,False,False,11,True,4.328092575073242,4.328125,0.0,0,31948800,True,14.113742166049189,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.hat,40,fx16,16,False,False,11,True,5.0,5.0,0.0,0,31948800,True,14.321928094887362,0.0
