site,calls,kind,bits,dynamic,per_call,frac_bits,on_grid,max_abs_in,max_abs_out,worst_grid_err_lsb,saturated_elems,total_elems,float32_exact,worst_bits_needed,saturated_pct
backbone.event_projection.seq_init.1.in,3,fx16,16,False,False,8,True,63.45276641845703,63.453125,0.0,0,8736000,True,14.987619311924325,0.0
backbone.event_projection.seq_init.1.out,3,fx16,16,False,False,11,True,7.7890625,7.7890625,0.0,0,8736000,True,14.961449694398196,0.0
backbone.preproc_block_events.seq_init.1.in,3,fx16,16,False,False,10,True,11.13288688659668,11.1328125,0.0,0,11648000,True,14.476746203939467,0.0
backbone.preproc_block_events.seq_init.1.out,3,fx16,16,False,False,11,True,4.948240280151367,4.9482421875,0.0,0,11648000,True,14.306916113522542,0.0
backbone.proc_event_blocks.0.seq_init.2.in,3,int8,16,False,False,,True,13.285091400146484,13.319923400878906,7.105427357601002e-15,0,11648000,True,6.882643049361842,0.0
backbone.proc_event_blocks.0.seq_init.5.in,3,int8,16,False,False,,True,6.5751447677612305,6.67572021484375,0.0,0,11648000,True,5.807354922057604,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.in,3,fx16,24,False,False,15,True,6.6103057861328125,6.61029052734375,0.0,0,11648000,True,18.724713680681095,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.centered,3,fx16,24,False,False,16,True,6.171106338500977,6.171112060546875,0.0,0,11648000,True,19.625530492562838,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.hat,3,fx16,16,False,False,12,True,7.866954803466797,7.866943359375,0.0,0,11648000,True,15.975803196487831,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.out,3,fx16,16,False,False,12,True,4.056411266326904,4.056396484375,0.0,0,11648000,True,15.020198672579394,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.in,3,fx16,24,False,False,21,True,0.8355712890625,0.8355712890625,0.0,0,2396160,True,21.74083482614526,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.centered,3,fx16,24,False,False,21,True,0.8383655548095703,0.8383655548095703,0.0,0,2396160,True,21.745651348459536,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.hat,3,fx16,16,False,False,12,True,6.004504680633545,6.00439453125,0.0,0,2396160,True,15.586018775355935,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.out,3,fx16,16,False,False,13,True,2.0024614334106445,2.00244140625,0.0,0,2396160,True,15.001760028327217,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.in,3,fx16,16,False,False,11,True,12.895566940307617,12.8955078125,0.0,0,35018880,True,15.688796681054455,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.out,3,fx16,16,False,False,15,True,0.7204623222351074,0.720458984375,0.0,0,35018880,True,15.526988205432007,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.in,3,fx16,24,False,False,17,True,11.542488098144531,11.542488098144531,0.0,0,2396160,True,21.528882339663056,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.centered,3,fx16,24,False,False,17,True,11.612395286560059,11.612396240234375,0.0,0,2396160,True,21.53759380069933,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.hat,3,fx16,16,False,False,12,True,4.688534736633301,4.6884765625,0.0,0,2396160,True,15.229119220658594,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.out,3,fx16,16,False,False,13,True,1.4946339130401611,1.49462890625,0.0,0,2396160,True,14.579787329526992,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu1.in,3,fx16,16,False,False,12,True,4.786824703216553,4.786865234375,0.0,0,2396160,True,15.259081190132111,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu1.out,3,fx16,16,False,False,12,True,4.174254417419434,4.17431640625,0.0,0,2396160,True,15.061539958530144,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.in,3,fx16,24,False,False,18,True,4.17431640625,4.17431640625,0.0,0,2396160,True,21.061539958530144,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.centered,3,fx16,24,False,False,18,True,4.093954086303711,4.093955993652344,0.0,0,2396160,True,21.033495594769544,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.hat,3,fx16,16,False,False,11,True,8.654898643493652,8.65478515625,0.0,0,2396160,True,15.113498007014242,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.out,3,fx16,16,False,False,12,True,3.0786190032958984,3.07861328125,0.0,0,2396160,True,14.622280655215583,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu2.in,3,fx16,16,False,False,12,True,4.064061164855957,4.06396484375,0.0,0,2396160,True,15.02288792180326,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu2.out,3,fx16,16,False,False,12,True,3.6357274055480957,3.6357421875,0.0,0,2396160,True,14.862249900851513,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.in,3,fx16,24,False,False,17,True,12.987548828125,12.987548828125,0.0,0,2396160,True,21.699057267998477,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.centered,3,fx16,24,False,False,17,True,13.079690933227539,13.079689025878906,0.0,0,2396160,True,21.709256335558557,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.hat,3,fx16,16,False,False,12,True,4.9504313468933105,4.950439453125,0.0,0,2396160,True,15.30755659967774,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.out,3,fx16,16,False,False,14,True,1.4097495079040527,1.40972900390625,0.0,0,2396160,True,15.495417856030977,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.in,3,fx16,24,False,False,17,True,12.987548828125,12.987548828125,0.0,0,2396160,True,21.699057267998477,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.centered,3,fx16,24,False,False,17,True,13.079690933227539,13.079689025878906,0.0,0,2396160,True,21.709256335558557,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.hat,3,fx16,16,False,False,12,True,4.9504313468933105,4.950439453125,0.0,0,2396160,True,15.30755659967774,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.out,3,fx16,16,False,False,13,True,3.18680739402771,3.186767578125,0.0,0,2396160,True,15.672093802261685,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.softmax.in,3,fx16,16,False,False,10,True,20.24087905883789,20.2412109375,0.0,0,7263360,True,15.339223697235157,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.softmax.out,3,fx16,16,False,False,14,True,0.9616979956626892,0.961669921875,0.0,0,7263360,True,14.943613701614042,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.in,3,fx16,24,False,False,16,True,13.956993103027344,13.957000732421875,0.0,0,2396160,True,20.802917044074402,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.centered,3,fx16,24,False,False,16,True,13.855741500854492,13.855743408203125,0.0,0,2396160,True,20.79241221332528,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.hat,3,fx16,16,False,False,12,True,4.726250648498535,4.726318359375,0.0,0,2396160,True,15.240716810865374,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.out,3,fx16,16,False,False,13,True,1.8358421325683594,1.8358154296875,0.0,0,2396160,True,14.8764210195035,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.gelu1.in,3,fx16,16,False,False,12,True,4.239932060241699,4.239990234375,0.0,0,2396160,True,15.084060941950035,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.gelu1.out,3,fx16,16,False,False,12,True,3.162339210510254,3.162353515625,0.0,0,2396160,True,14.660998653822475,0.0
