site,calls,kind,bits,dynamic,per_call,frac_bits,on_grid,max_abs_in,max_abs_out,worst_grid_err_lsb,saturated_elems,total_elems,float32_exact,worst_bits_needed,saturated_pct
backbone.event_projection.seq_init.1.in,3,fx16,16,False,False,11,True,63.45276641845703,16.0,0.0,55615,8736000,True,16.0,0.6366185897435898
backbone.event_projection.seq_init.1.out,3,fx16,16,False,False,11,True,7.7900390625,7.7900390625,0.0,0,8736000,True,14.961630562578824,0.0
backbone.preproc_block_events.seq_init.1.in,3,fx16,16,False,False,11,True,11.017569541931152,11.017578125,0.0,0,11648000,True,15.461735221604863,0.0
backbone.preproc_block_events.seq_init.1.out,3,fx16,16,False,False,11,True,4.996092319488525,4.99609375,0.0,0,11648000,True,14.320800548881637,0.0
backbone.proc_event_blocks.0.seq_init.2.in,3,int8,16,False,False,,True,13.181074142456055,13.128044128417969,7.105427357601002e-15,0,11648000,True,6.977279923499917,0.0
backbone.proc_event_blocks.0.seq_init.5.in,3,int8,16,False,False,,True,7.5572509765625,7.595947265625,3.552713678800501e-15,0,11648000,True,6.169925001442312,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.in,3,fx16,24,False,False,16,True,7.50799560546875,7.50799560546875,0.0,0,11648000,True,19.90842780574014,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.centered,3,fx16,24,False,False,16,True,6.826934337615967,6.826934814453125,0.0,0,11648000,True,19.77123797667466,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.hat,3,fx16,16,False,False,12,True,8.048198699951172,7.999755859375,0.0,1,11648000,True,15.999955971769559,8.585164835164835e-06
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.out,3,fx16,16,False,False,12,True,4.048559188842773,4.048583984375,0.0,0,11648000,True,15.017417405297836,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.in,3,fx16,24,False,False,21,True,0.8355712890625,0.8355712890625,0.0,0,2396160,True,21.74083482614526,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.centered,3,fx16,24,False,False,21,True,0.8383655548095703,0.8383655548095703,0.0,0,2396160,True,21.745651348459536,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.hat,3,fx16,16,False,False,12,True,6.004504680633545,6.00439453125,0.0,0,2396160,True,15.586018775355935,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.out,3,fx16,16,False,False,13,True,2.0024614334106445,2.00244140625,0.0,0,2396160,True,15.001760028327217,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.in,3,fx16,16,False,False,11,True,13.006562232971191,13.00634765625,0.0,0,35018880,True,15.701143987152339,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.out,3,fx16,16,False,False,15,True,0.6939247250556946,0.693939208984375,0.0,0,35018880,True,15.472881189330915,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.in,3,fx16,24,False,False,17,True,11.591880798339844,11.591880798339844,0.0,0,2396160,True,21.535042759445552,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.centered,3,fx16,24,False,False,17,True,11.597031593322754,11.597030639648438,0.0,0,2396160,True,21.53568355284021,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.hat,3,fx16,16,False,False,12,True,4.791415691375732,4.79150390625,0.0,0,2396160,True,15.260478544803934,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.out,3,fx16,16,False,False,13,True,1.4924681186676025,1.492431640625,0.0,0,2396160,True,14.577664851764846,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu1.in,3,fx16,16,False,False,11,True,4.865756034851074,4.86572265625,0.0,0,2396160,True,14.282654089726421,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu1.out,3,fx16,16,False,False,11,True,4.184510231018066,4.1845703125,0.0,0,2396160,True,14.065079488999862,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.in,3,fx16,24,False,False,18,True,4.1845703125,4.1845703125,0.0,0,2396160,True,21.065079488999864,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.centered,3,fx16,24,False,False,18,True,4.111492156982422,4.111492156982422,0.0,0,2396160,True,21.03966207682517,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.hat,3,fx16,16,False,False,11,True,8.696202278137207,8.6962890625,0.0,0,2396160,True,15.120399895988982,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.out,3,fx16,16,False,False,12,True,3.1393425464630127,3.139404296875,0.0,0,2396160,True,14.650490833168954,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu2.in,3,fx16,16,False,False,11,True,4.076669216156006,4.07666015625,0.0,0,2396160,True,14.027387694052763,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu2.out,3,fx16,16,False,False,11,True,3.673389196395874,3.67333984375,0.0,0,2396160,True,13.877092375027413,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.in,3,fx16,24,False,False,17,True,12.863035202026367,12.863037109375,0.0,0,2396160,True,21.685159414483064,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.centered,3,fx16,24,False,False,17,True,12.95856761932373,12.958564758300781,0.0,0,2396160,True,21.69583403450307,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.hat,3,fx16,16,False,False,12,True,4.926499366760254,4.926513671875,0.0,0,2396160,True,15.300567060892247,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.out,3,fx16,16,False,False,14,True,1.4936802387237549,1.49365234375,0.0,0,2396160,True,15.578844391558203,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.in,3,fx16,24,False,False,17,True,12.863035202026367,12.863037109375,0.0,0,2396160,True,21.685159414483064,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.centered,3,fx16,24,False,False,17,True,12.95856761932373,12.958564758300781,0.0,0,2396160,True,21.69583403450307,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.hat,3,fx16,16,False,False,12,True,4.926499366760254,4.926513671875,0.0,0,2396160,True,15.300567060892247,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.out,3,fx16,16,False,False,13,True,3.1481823921203613,3.148193359375,0.0,0,2396160,True,15.654524152676576,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.softmax.in,3,fx16,16,False,False,10,True,19.838029861450195,19.837890625,0.0,0,7263360,True,15.310186726124348,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.softmax.out,3,fx16,16,False,False,14,True,0.9831029176712036,0.98309326171875,0.0,0,7263360,True,14.975400190281693,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.in,3,fx16,24,False,False,16,True,13.98185920715332,13.981857299804688,0.0,0,2396160,True,20.80548411076817,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.centered,3,fx16,24,False,False,16,True,13.876970291137695,13.876968383789062,0.0,0,2396160,True,20.794620520484656,0.0
