site,calls,kind,bits,dynamic,per_call,frac_bits,on_grid,max_abs_in,max_abs_out,worst_grid_err_lsb,saturated_elems,total_elems,float32_exact,worst_bits_needed,saturated_pct
backbone.event_projection.seq_init.1.in,2,fx16,16,False,False,11,True,11.34899616241455,11.34912109375,0.0,0,25459200,True,15.504508670572237,0.0
backbone.event_projection.seq_init.1.out,2,fx16,16,False,False,11,True,8.07373046875,8.07373046875,0.0,0,25459200,True,15.013235425078477,0.0
backbone.preproc_block_events.seq_init.1.in,2,fx16,16,False,False,11,True,9.22120189666748,9.22119140625,0.0,0,33945600,True,15.204953163327534,0.0
backbone.preproc_block_events.seq_init.1.out,2,fx16,16,False,False,12,True,4.2626519203186035,4.2626953125,0.0,0,33945600,True,15.091765938516803,0.0
backbone.proc_event_blocks.0.seq_init.2.in,40,int8,16,False,False,,True,3.753397226333618,3.7501487731933594,0.0,0,33945600,True,7.832890014164741,0.0
backbone.proc_event_blocks.0.seq_init.5.in,40,int8,16,False,False,,True,2.30077862739563,2.294428825378418,0.0,0,33945600,True,7.820178962415188,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.in,40,fx16,24,False,False,20,True,4.2626953125,4.2626953125,0.0,0,33945600,True,23.0917659385168,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.centered,40,fx16,24,False,False,20,True,3.7507903575897217,3.750790596008301,0.0,0,33945600,True,22.907194720601783,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.hat,40,fx16,16,False,False,11,True,7.821015357971191,7.82080078125,0.0,0,33945600,True,14.967316334385668,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.out,40,fx16,16,False,False,11,True,7.957533359527588,7.95751953125,0.0,0,33945600,True,14.99231879287319,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.in,40,fx16,24,False,False,9,True,48522.0,16384.0,0.0,4786,31948800,True,24.0,0.014980218349358974
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.centered,40,fx16,24,False,False,9,True,18925.271484375,16384.0,0.0,2390,31948800,True,24.0,0.007480719150641026
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.hat,40,fx16,16,False,False,12,True,4.672438144683838,4.67236328125,0.0,0,31948800,True,15.224152449663665,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.out,40,fx16,16,False,False,12,True,4.7668585777282715,4.766845703125,0.0,0,31948800,True,15.253034927916705,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.in,40,fx16,16,False,False,10,True,23.477218627929688,23.4775390625,0.0,0,102835200,True,15.553209286623323,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.out,40,fx16,16,False,False,14,True,1.0,1.0,0.0,0,102835200,True,15.0,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.in,40,fx16,24,False,False,9,True,48523.421875,16384.0,0.0,4786,31948800,True,24.0,0.014980218349358974
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.centered,40,fx16,24,False,False,9,True,18925.216796875,16384.0,0.0,2390,31948800,True,24.0,0.007480719150641026
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.hat,40,fx16,16,False,False,12,True,4.582383632659912,4.582275390625,0.0,0,31948800,True,15.196064165921053,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.out,40,fx16,16,False,False,12,True,4.595922470092773,4.595947265625,0.0,0,31948800,True,15.200362244446653,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu1.in,40,fx16,16,False,False,12,True,6.256783485412598,6.2568359375,0.0,0,31948800,True,15.64543327516426,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu1.out,40,fx16,16,False,False,12,True,6.2568359375,6.2568359375,0.0,0,31948800,True,15.64543327516426,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.in,40,fx16,24,False,False,20,True,6.2568359375,6.2568359375,0.0,0,31948800,True,23.645433275164258,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.centered,40,fx16,24,False,False,20,True,6.020656585693359,6.020656585693359,0.0,0,31948800,True,23.589920829388678,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.hat,40,fx16,16,False,False,11,True,8.611565589904785,8.611328125,0.0,0,31948800,True,15.106235761615748,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.out,40,fx16,16,False,False,11,True,9.13402271270752,9.1337890625,0.0,0,31948800,True,15.191213472221285,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu2.in,40,fx16,16,False,False,12,True,4.301844596862793,4.3017578125,0.0,0,31948800,True,15.104926303807776,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu2.out,40,fx16,16,False,False,12,True,4.301721572875977,4.3017578125,0.0,0,31948800,True,15.104926303807776,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.in,40,fx16,24,False,False,9,True,48523.44140625,16384.0,0.0,4786,31948800,True,24.0,0.014980218349358974
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.centered,40,fx16,24,False,False,9,True,18925.212890625,16384.0,0.0,2390,31948800,True,24.0,0.007480719150641026
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.hat,40,fx16,16,False,False,12,True,4.994802951812744,4.994873046875,0.0,0,31948800,True,15.320448009955344,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.out,40,fx16,16,False,False,12,True,4.893632411956787,4.8935546875,0.0,0,31948800,True,15.290882822429577,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.in,40,fx16,24,False,False,9,True,48523.44140625,16384.0,0.0,4786,31948800,True,24.0,0.014980218349358974
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.centered,40,fx16,24,False,False,9,True,18925.212890625,16384.0,0.0,2390,31948800,True,24.0,0.007480719150641026
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.hat,40,fx16,16,False,False,12,True,4.994802951812744,4.994873046875,0.0,0,31948800,True,15.320448009955344,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.out,40,fx16,16,False,False,12,True,5.316408634185791,5.31640625,0.0,0,31948800,True,15.410451351503994,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.softmax.in,40,fx16,16,False,False,8,True,60.118080139160156,60.1171875,0.0,0,96844800,True,14.909705611215573,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.softmax.out,40,fx16,16,False,False,14,True,1.0,1.0,0.0,0,96844800,True,15.0,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.in,40,fx16,24,False,False,9,True,48523.60546875,16384.0,0.0,4786,31948800,True,24.0,0.014980218349358974
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.centered,40,fx16,24,False,False,9,True,18925.1875,16384.0,0.0,2390,31948800,True,24.0,0.007480719150641026
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.hat,40,fx16,16,False,False,12,True,5.080046653747559,5.080078125,0.0,0,31948800,True,15.34485068394299,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.out,40,fx16,16,False,False,12,True,4.91977596282959,4.919677734375,0.0,0,31948800,True,15.29856381429491,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.gelu1.in,40,fx16,16,False,False,12,True,5.136416912078857,5.136474609375,0.0,0,31948800,True,15.360778513394182,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.gelu1.out,40,fx16,16,False,False,12,True,5.136474132537842,5.136474609375,0.0,0,31948800,True,15.360778513394182,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.in,40,fx16,24,False,False,20,True,5.136474609375,5.136474609375,0.0,0,31948800,True,23.360778513394184,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.centered,40,fx16,24,False,False,20,True,4.902002334594727,4.902002334594727,0.0,0,31948800,True,23.29337117129317,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.hat,40,fx16,16,False,False,11,True,7.524417877197266,7.5244140625,0.0,0,31948800,True,14.911579241402148,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.out,40,fx16,16,False,False,11,True,7.828951358795166,7.8291015625,0.0,0,31948800,True,14.968846758896294,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.gelu2.in,40,fx16,16,False,False,12,True,5.252711772918701,5.252685546875,0.0,0,31948800,True,15.393055219835672,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.gelu2.out,40,fx16,16,False,False,12,True,5.252685070037842,5.252685546875,0.0,0,31948800,True,15.393055219835672,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.in,40,fx16,24,False,False,9,True,48522.66796875,16384.0,0.0,4785,31948800,True,24.0,0.014977088341346156
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.centered,40,fx16,24,False,False,9,True,18925.203125,16384.0,0.0,2390,31948800,True,24.0,0.007480719150641026
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.hat,40,fx16,16,False,False,12,True,4.761735916137695,4.76171875,0.0,0,31948800,True,15.251482410620213,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.out,40,fx16,16,False,False,12,True,4.683035850524902,4.68310546875,0.0,0,31948800,True,15.227465529501677,0.0
