site,calls,kind,bits,dynamic,per_call,frac_bits,on_grid,max_abs_in,max_abs_out,worst_grid_err_lsb,saturated_elems,total_elems,float32_exact,worst_bits_needed,saturated_pct
backbone.event_projection.seq_init.1.in,3,fx16,16,False,False,11,True,13.30923843383789,13.30908203125,0.0,0,40809600,True,15.734339162408054,0.0
backbone.event_projection.seq_init.1.out,3,fx16,16,False,False,11,True,8.8115234375,8.8115234375,0.0,0,40809600,True,15.139391470419255,0.0
backbone.preproc_block_events.seq_init.1.in,3,fx16,16,False,False,11,True,9.974629402160645,9.974609375,0.0,0,54412800,True,15.318260343712415,0.0
backbone.preproc_block_events.seq_init.1.out,3,fx16,16,False,False,12,True,4.487288475036621,4.4873046875,0.0,0,54412800,True,15.165849146176397,0.0
backbone.proc_event_blocks.0.seq_init.2.in,60,int8,16,False,False,,True,3.753397226333618,3.7501487731933594,0.0,0,54412800,True,7.832890014164741,0.0
backbone.proc_event_blocks.0.seq_init.5.in,60,int8,16,False,False,,True,2.7346887588500977,2.5786943435668945,0.0,1,54412800,True,7.9886846867721655,1.8378028699129615e-06
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.in,60,fx16,24,False,False,18,True,4.4873046875,4.4873046875,0.0,0,54412800,True,21.165849146176395,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.centered,60,fx16,24,False,False,18,True,4.009746074676514,4.009746551513672,0.0,0,54412800,True,21.003511049540524,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.hat,60,fx16,16,False,False,11,True,7.991180896759033,7.9912109375,0.0,0,54412800,True,14.998414136589261,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.out,60,fx16,16,False,False,11,True,8.102952003479004,8.10302734375,0.0,0,54412800,True,15.018461008965662,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.in,60,fx16,24,False,False,7,True,48522.0,48522.0,0.0,0,47923200,True,23.566351396838364,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.centered,60,fx16,24,False,False,7,True,45561.984375,45561.984375,0.0,0,47923200,True,23.47554296210091,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.hat,60,fx16,16,False,False,12,True,4.685448169708252,4.685546875,0.0,0,47923200,True,15.228217442293435,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.out,60,fx16,16,False,False,12,True,4.918787479400635,4.918701171875,0.0,0,47923200,True,15.298277409005193,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.in,60,fx16,16,False,False,10,True,23.54229164123535,23.5419921875,0.0,0,164736000,True,15.557164505213398,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.out,60,fx16,16,False,False,14,True,1.0,1.0,0.0,0,164736000,True,15.0,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.in,60,fx16,24,False,False,7,True,48523.06640625,48523.0625,0.0,0,47923200,True,23.566382987595098,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.centered,60,fx16,24,False,False,7,True,45563.1171875,45563.1171875,0.0,0,47923200,True,23.4755788315364,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.hat,60,fx16,16,False,False,12,True,4.634897232055664,4.635009765625,0.0,0,47923200,True,15.21257237850645,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.out,60,fx16,16,False,False,12,True,4.601524353027344,4.6015625,0.0,0,47923200,True,15.20212382383046,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu1.in,60,fx16,16,False,False,12,True,6.199910640716553,6.199951171875,0.0,0,47923200,True,15.63225685350416,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu1.out,60,fx16,16,False,False,12,True,6.199951171875,6.199951171875,0.0,0,47923200,True,15.63225685350416,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.in,60,fx16,24,False,False,18,True,6.199951171875,6.199951171875,0.0,0,47923200,True,21.63225685350416,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.centered,60,fx16,24,False,False,18,True,5.962253570556641,5.962253570556641,0.0,0,47923200,True,21.57585773346483,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.hat,60,fx16,16,False,False,11,True,8.616438865661621,8.6162109375,0.0,0,47923200,True,15.10705356960822,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.out,60,fx16,16,False,False,11,True,9.139204025268555,9.13916015625,0.0,0,47923200,True,15.192061594814708,0.0
