site,calls,kind,bits,dynamic,per_call,frac_bits,on_grid,max_abs_in,max_abs_out,worst_grid_err_lsb,saturated_elems,total_elems,float32_exact,worst_bits_needed,saturated_pct
backbone.event_projection.seq_init.1.in,3,fx16,16,False,False,11,True,11.696969032287598,11.69677734375,0.0,0,66145920,True,15.54803919301975,0.0
backbone.event_projection.seq_init.1.out,3,fx16,16,False,False,11,True,7.30810546875,7.30810546875,0.0,0,66145920,True,14.869497454729581,0.0
backbone.preproc_block_events.seq_init.1.in,3,fx16,16,False,False,11,True,8.148527145385742,8.1484375,0.0,0,88194560,True,15.026523442519766,0.0
backbone.preproc_block_events.seq_init.1.out,3,fx16,16,False,False,11,True,5.662109375,5.662109375,0.0,0,88194560,True,14.501339618061397,0.0
backbone.proc_event_blocks.0.seq_init.2.in,60,int8,16,False,False,,True,4.084106922149658,4.055908203125,0.0,1,88194560,True,8.0,1.1338567820963106e-06
backbone.proc_event_blocks.0.seq_init.5.in,60,int8,16,False,False,,True,1.5635684728622437,1.5664644241333008,1.4210854715202004e-14,0,88194560,True,7.741466986401147,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.in,60,fx16,24,False,False,18,True,5.662109375,5.662109375,0.0,0,88194560,True,21.501339618061397,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.centered,60,fx16,24,False,False,18,True,5.146444797515869,5.146446228027344,0.0,0,88194560,True,21.363576552884368,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.hat,60,fx16,16,False,False,11,True,7.703342437744141,7.703125,0.0,0,88194560,True,14.945443836377912,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.out,60,fx16,16,False,False,11,True,8.57467269897461,8.57470703125,0.0,0,88194560,True,15.100087380115399,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.in,60,fx16,24,False,False,4,True,50944.0,50944.0,0.0,0,70778880,True,20.63662462054365,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.centered,60,fx16,24,False,False,4,True,50434.9375,50434.9375,0.0,0,70778880,True,20.622135849303795,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.hat,60,fx16,16,False,False,12,True,5.017740726470947,5.017822265625,0.0,0,70778880,True,15.327061370499463,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.out,60,fx16,16,False,False,12,True,5.1841044425964355,5.18408203125,0.0,0,70778880,True,15.374088547146387,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.in,60,fx16,16,False,False,10,True,21.30492401123047,21.3046875,0.0,0,266795520,True,15.413098984915264,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.out,60,fx16,16,False,False,14,True,1.0,1.0,0.0,0,266795520,True,15.0,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.in,60,fx16,24,False,False,4,True,50944.72265625,50944.75,0.0,0,70778880,True,20.63664585981257,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.centered,60,fx16,24,False,False,4,True,50435.7421875,50435.75,0.0,0,70778880,True,20.62215909073795,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.hat,60,fx16,16,False,False,12,True,5.179080486297607,5.17919921875,0.0,0,70778880,True,15.372729053038164,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.out,60,fx16,16,False,False,12,True,5.064836502075195,5.06494140625,0.0,0,70778880,True,15.340545579312394,0.0
