name,numel,max_abs,min_abs_nonzero,dynamic_range,frac_bits,q_format,step,rel_err_max,rel_err_mean,group,dataset
backbone.event_projection.seq_init.0,96,0.0031935726292431355,0.0008601880399510264,3.712644771746602,23.0,Q-8.23,1.1920928955078125e-07,5.483584027388133e-05,2.080317062791437e-05,"weight_scale (per-channel, per-layer exponent)",DVS128_10
backbone.preproc_block_events.seq_init.0,128,0.0032650583889335394,0.000960610166657716,3.398942153916369,23.0,Q-8.23,1.1920928955078125e-07,5.2725492423633114e-05,1.872144093795214e-05,"weight_scale (per-channel, per-layer exponent)",DVS128_10
backbone.proc_event_blocks.0.seq_init.1,128,0.002075762953609228,0.0009523352491669357,2.1796556994241487,23.0,Q-8.23,1.1920928955078125e-07,5.914018038311042e-05,2.6138626708416268e-05,"weight_scale (per-channel, per-layer exponent)",DVS128_10
backbone.proc_event_blocks.0.seq_init.4,128,0.0021556089632213116,0.0007959998329170048,2.708052029762256,23.0,Q-8.23,1.1920928955078125e-07,6.375610246323049e-05,2.6122650524484925e-05,"weight_scale (per-channel, per-layer exponent)",DVS128_10
backbone.proc_memory_blocks.0.cross_attention.attention.in_proj,384,0.0023533974308520555,0.0010039558401331306,2.344124449278547,23.0,Q-8.23,1.1920928955078125e-07,4.944375905324705e-05,2.078186116705183e-05,"weight_scale (per-channel, per-layer exponent)",DVS128_10
backbone.proc_memory_blocks.0.cross_attention.attention.out_proj,128,0.0022150396835058928,0.0009873476810753345,2.243424201992819,23.0,Q-8.23,1.1920928955078125e-07,5.706704541807994e-05,2.361716906307265e-05,"weight_scale (per-channel, per-layer exponent)",DVS128_10
backbone.proc_memory_blocks.0.cross_attention.linear1,128,0.001484610023908317,0.0008304159273393452,1.7877908828952878,24.0,Q-9.24,5.960464477539063e-08,3.243812534492463e-05,1.3280151506478433e-05,"weight_scale (per-channel, per-layer exponent)",DVS128_10
backbone.proc_memory_blocks.0.cross_attention.linear2,128,0.0017941080732271075,0.0008436833159066737,2.1265183741355003,24.0,Q-9.24,5.960464477539063e-08,3.159442712785676e-05,1.5674093447159976e-05,"weight_scale (per-channel, per-layer exponent)",DVS128_10
backbone.proc_memory_blocks.0.cross_attention.linear3,128,0.0019918817561119795,0.0007390085957013071,2.695343149861087,23.0,Q-8.23,1.1920928955078125e-07,6.278030923567712e-05,2.7996213248115964e-05,"weight_scale (per-channel, per-layer exponent)",DVS128_10
backbone.proc_memory_blocks.0.latent_attentions.0.attention.in_proj,384,0.002417480805888772,0.000892297422979027,2.7092769110749675,23.0,Q-8.23,1.1920928955078125e-07,6.434387614717707e-05,2.1757265130872838e-05,"weight_scale (per-channel, per-layer exponent)",DVS128_10
backbone.proc_memory_blocks.0.latent_attentions.0.attention.out_proj,128,0.0013626335421577096,0.0007703195442445576,1.7689198623332694,24.0,Q-9.24,5.960464477539063e-08,3.196195757482201e-05,1.648286524869036e-05,"weight_scale (per-channel, per-layer exponent)",DVS128_10
backbone.proc_memory_blocks.0.latent_attentions.0.linear1,128,0.0016459486214444041,0.0008707214146852493,1.8903274844105975,24.0,Q-9.24,5.960464477539063e-08,2.9424691092572175e-05,1.293927380174864e-05,"weight_scale (per-channel, per-layer exponent)",DVS128_10
