dataset,config,int32_bias,int8_pos_enc,fx16_scales,fx_nonlinear,ln_dynamic_exp,accuracy,n_eval_samples,eval_time_s,file_bytes,fp32_ckpt_bytes,max_abs_bias_int,bytes_weights_int8,bytes_weight_scales,bytes_biases,bytes_pos_encoding,bytes_fx_params,bytes_act_scales,bytes_other,bytes_total,ln_bits,split_posenc_scale,ln_per_step_q,ln_centered_bits,ln_headroom_bits,gelu_frac_bits
DVS128_10,base,False,False,False,False,False,0.9734848484848484,264,8.826556921005249,704693,1972944,0.0,445184,13736,16808,112896,62464,164,70,651322,,,,,,
DVS128_10,int32_bias,True,False,False,False,False,0.9734848484848484,264,8.921995878219604,705557,1972944,6701.0,445184,13736,16808,112896,62464,164,70,651322,,,,,,
DVS128_10,int8_pos_enc,False,True,False,False,False,0.9734848484848484,264,9.054315328598022,621436,1972944,0.0,445184,13736,16808,28228,62464,164,70,566654,,,,,,
DVS128_10,fx16_scales,False,False,True,False,False,0.9734848484848484,264,8.949743509292603,698725,1972944,0.0,445184,6890,16808,112896,62464,123,70,644435,,,,,,
DVS128_10,fx_nonlinear,False,False,False,True,False,0.9659090909090908,264,19.19951868057251,675317,1972944,0.0,445184,13736,16808,112896,31259,164,70,620117,,,,,,
DVS128_10,fx_nonlinear_lndyn,False,False,False,True,True,0.9734848484848484,264,9.547559022903442,676309,1972944,0.0,445184,13736,16808,112896,31259,164,70,620117,,,,,,
DVS128_10,fx_nonlinear_ln32,False,False,False,True,False,0.9734848484848484,264,8.55552625656128,676869,1972944,0.0,445184,13736,16808,112896,31259,164,74,620121,32.0,False,,,,
DVS128_10,fx_nonlinear_lnstepq,False,False,False,True,False,0.9734848484848484,264,9.013482093811035,688501,1972944,0.0,445184,13736,16808,112896,31259,164,74,620121,16.0,False,True,,,
DVS128_10,all,True,True,True,True,False,0.9659090909090908,264,9.19829034805298,581795,1972944,6701.0,445184,6890,16808,28227,31259,123,70,528561,,,,,,
DVS128_10,all_lndyn,True,True,True,True,True,0.9772727272727272,264,8.986220121383667,583241,1972944,6701.0,445184,6890,16808,28227,31259,123,70,528561,,,,,,
DVS128_10,all_lnstepq,True,True,True,True,False,0.9734848484848484,264,9.254176378250122,595435,1972944,6701.0,445184,6890,16808,28227,31259,123,74,528565,16.0,False,True,,,
DVS128_10,all_ln32,True,True,True,True,False,0.9734848484848484,264,8.505941152572632,583928,1972944,6701.0,445184,6890,16808,28227,31259,123,74,528565,32.0,False,,,,
DVS128_10,all_ln32_splitpos,True,True,True,True,False,0.9772727272727272,264,7.687349081039429,585565,1972944,6701.0,445184,6890,16808,28227,31259,126,74,528568,32.0,True,,,,
DVS128_10,all_ln32_ctr16,True,True,True,True,False,0.9659090909090908,264,9.334843158721924,600222,1972944,6701.0,445184,6890,16808,28227,31259,123,87,528578,32.0,False,False,16.0,,
DVS128_10,all_ln32_ctr32,True,True,True,True,False,0.9734848484848484,264,9.230789184570312,600222,1972944,6701.0,445184,6890,16808,28227,31259,123,87,528578,32.0,False,False,32.0,,
DVS128_10,all_ln24,True,True,True,True,False,0.9772727272727272,264,7.824173450469971,599675,1972944,6701.0,445184,6890,16808,28227,31259,126,87,528581,24.0,True,False,24.0,0.0,
DVS128_10,all_ln24_guard2,True,True,True,True,False,0.9734848484848484,264,7.9436936378479,600761,1972944,6701.0,445184,6890,16808,28227,31259,126,87,528581,24.0,True,False,24.0,2.0,
DVS128_10,all_ln18_guard2,True,True,True,True,False,0.9734848484848485,264,7.969668865203857,601401,1972944,6701.0,445184,6890,16808,28227,31259,126,87,528581,18.0,True,False,18.0,2.0,
DVS128_10,all_ln20_guard2,True,True,True,True,False,0.9772727272727273,264,7.869565010070801,601401,1972944,6701.0,445184,6890,16808,28227,31259,126,87,528581,20.0,True,False,20.0,2.0,
DVS128_10,all_ln22_guard2,True,True,True,True,False,0.9772727272727273,264,8.135037660598755,601401,1972944,6701.0,445184,6890,16808,28227,31259,126,87,528581,22.0,True,False,22.0,2.0,
DVS128_10,deploy_nosplit,True,True,True,True,False,0.9734848484848485,264,8.161224842071533,600926,1972944,6701.0,445184,6890,16808,28227,31259,123,87,528578,24.0,False,False,24.0,2.0,
DVS128_10,deploy_gelu_q411,True,True,True,True,False,0.9734848484848485,264,8.003887176513672,601216,1972944,6701.0,445184,6890,16808,28227,31259,123,87,528578,24.0,False,False,24.0,2.0,11.0
DVS128_10,all_ln32_splitpos_ctr16,True,True,True,True,False,0.9659090909090908,264,8.700408697128296,601993,1972944,6701.0,445184,6890,16808,28227,31259,126,87,528581,32.0,True,False,16.0,,
DVS128_11,base,False,False,False,False,False,0.9548611111111112,288,10.64531135559082,704821,1973464,0.0,445312,13740,16812,112896,62464,164,70,651458,,,,,,
DVS128_11,int32_bias,True,False,False,False,False,0.9548611111111112,288,9.027909278869627,705685,1973464,8228.0,445312,13740,16812,112896,62464,164,70,651458,,,,,,
DVS128_11,int8_pos_enc,False,True,False,False,False,0.9583333333333334,288,9.005534648895264,621564,1973464,0.0,445312,13740,16812,28228,62464,164,70,566790,,,,,,
DVS128_11,fx16_scales,False,False,True,False,False,0.9548611111111112,288,8.798197746276855,698853,1973464,0.0,445312,6892,16812,112896,62464,123,70,644569,,,,,,
