dataset,case,weight_bits,act_bits,weight_scheme,accuracy,n_eval_samples,eval_time_s,model_size_mb,n_calib_batches,macs_M,bops_G,bops_reduction_x,accuracy_drop_pp,size_reduction_x
ASL_DVS,fp32_baseline,32,32,per_channel,0.999652726100114,20157,42.09640574455261,2.073699951171875,0,6703.156192,6864.031940608,1.0,0.0,1.0
ASL_DVS,fp16,16,16,per_channel,0.999652726100114,20157,42.6223361492157,1.0368499755859375,0,6703.156192,1716.007985152,4.0,0.0,2.0
ASL_DVS,int8_weightonly_pertensor,8,32,per_tensor,0.999652726100114,20157,42.62822079658508,0.7949752807617188,0,6703.156192,1716.007985152,4.0,0.0,2.6085087188936558
ASL_DVS,int8_weightonly_perchannel,8,32,per_channel,0.9996031155429876,20157,39.70904731750488,0.80804443359375,0,6703.156192,1716.007985152,4.0,0.0049610557126378,2.5663192083994257
ASL_DVS,int8_w8a8_static,8,8,per_channel,0.9995038944287344,20157,44.60019135475159,0.80804443359375,1260,6703.156192,429.001996288,16.0,0.0148831671379578,2.5663192083994257
ASL_DVS,int4_weightonly_perchannel,4,32,per_channel,0.999107009971722,20157,45.75360894203186,0.59490966796875,0,6703.156192,858.003992576,8.0,0.0545716128392048,3.485739201805684
ASL_DVS,int4w_int8a,4,8,per_channel,0.9992558416431015,20157,45.09172296524048,0.59490966796875,1260,6703.156192,214.500998144,32.0,0.0396884457012469,3.485739201805684
DVS128_10,fp32_baseline,32,32,per_channel,0.981060606060606,264,9.003801345825195,1.881507873535156,0,2576.9948864000003,2638.8427636736,1.0,0.0,1.0
DVS128_10,fp16,16,16,per_channel,0.9848484848484848,264,9.039036512374878,0.940753936767578,0,2576.9948864000003,659.7106909184,4.0,-0.3787878787878784,2.0
DVS128_10,int8_weightonly_pertensor,8,32,per_tensor,0.981060606060606,264,8.761718511581421,0.60791015625,0,2576.9948864000003,659.7106909184,4.0,0.0,3.0950426706827305
DVS128_10,int8_weightonly_perchannel,8,32,per_channel,0.981060606060606,264,9.021411418914797,0.6209259033203125,0,2576.9948864000003,659.7106909184,4.0,0.0,3.0301648932248786
DVS128_10,int8_w8a8_static,8,8,per_channel,0.9772727272727272,264,8.363938331604004,0.6209259033203125,16,2576.9948864000003,164.9276727296,16.0,0.3787878787878784,3.0301648932248786
DVS128_10,int4_weightonly_perchannel,4,32,per_channel,0.9734848484848484,264,8.914496898651123,0.4086456298828125,0,2576.9948864000003,329.8553454592,8.0,0.7575757575757569,4.604253015197341
DVS128_10,int4w_int8a,4,8,per_channel,0.9696969696969696,264,9.433893203735352,0.4086456298828125,16,2576.9948864000003,82.4638363648,32.0,1.1363636363636354,4.604253015197341
DVS128_11,fp32_baseline,32,32,per_channel,0.9583333333333334,288,8.843406915664673,1.8819999694824217,0,4809.894762666667,4925.332236970667,1.0,0.0,1.0
DVS128_11,fp16,16,16,per_channel,0.9618055555555556,288,9.092509984970093,0.9409999847412108,0,4809.894762666667,1231.3330592426666,4.0,-0.347222222222221,2.0
DVS128_11,int8_weightonly_pertensor,8,32,per_tensor,0.9583333333333334,288,8.515258073806763,0.6080360412597656,0,4809.894762666667,1231.3330592426666,4.0,0.0,3.095211207518523
DVS128_11,int8_weightonly_perchannel,8,32,per_channel,0.9583333333333334,288,9.110342264175417,0.6210556030273438,0,4809.894762666667,1231.3330592426666,4.0,0.0,3.030324435217375
DVS128_11,int8_w8a8_static,8,8,per_channel,0.9583333333333334,288,9.53751301765442,0.6210556030273438,18,4809.894762666667,307.83326481066666,16.0,0.0,3.030324435217375
DVS128_11,int4_weightonly_perchannel,4,32,per_channel,0.9618055555555556,288,8.861942052841187,0.4087142944335937,0,4809.894762666667,615.6665296213333,8.0,-0.347222222222221,4.6046835041347
DVS128_11,int4w_int8a,4,8,per_channel,0.9548611111111112,288,9.443785905838013,0.4087142944335937,18,4809.894762666667,153.91663240533333,32.0,0.347222222222221,4.6046835041347
